title,year,genres,cast,director,overview,rating,poster_url
Sarileru Neekevvaru,2020,"Action, Military, Comedy","Mahesh Babu, Rashmika Mandanna, Vijayashanti",Anil Ravipudi,"An energetic Indian Army major travels to a small town to deliver tragic news to the family of an injured soldier but unexpectedly becomes involved in a dangerous battle against a corrupt politician terrorizing innocent civilians. While balancing emotional responsibility and explosive action, he fights injustice using intelligence, courage, and humor. The film combines military action, family emotion, political conflict, and comedy while exploring patriotism, duty, and social responsibility.",5.8,https://image.tmdb.org/t/p/w500/66MSawKC7nkqjD1BMlQHXl6y3C.jpg
Bro Daddy,2022,"Family, Comedy, Drama","Mohanlal, Prithviraj Sukumaran, Kalyani Priyadarshan",Prithviraj Sukumaran,"The peaceful relationship between a father and son becomes hilariously complicated after both families discover unexpected pregnancies that create emotional confusion, generational embarrassment, and hidden secrets. As misunderstandings and social expectations spiral into chaos, family members are forced to confront responsibility, maturity, and communication. The film combines family comedy, emotional warmth, and generational humor while exploring relationships, parenthood, honesty, and acceptance.",6.8,https://image.tmdb.org/t/p/w500/io8nwO6t74YVnRHWBaAQQdzMftI.jpg
Leader,2010,"Political, Drama","Rana Daggubati, Richa Gangopadhyay, Priya Anand",Sekhar Kammula,"After the sudden death of his powerful politician father, an educated young man unexpectedly becomes Chief Minister and attempts to fight corruption within a deeply compromised political system. As party leaders, businessmen, and criminals resist his reforms, he struggles between idealism and political survival while confronting emotional betrayal and public expectations. The film combines political drama, emotional conflict, and social commentary while exploring governance, ethics, power, and systemic corruption.",8.0,https://image.tmdb.org/t/p/w500/kh4YPMvpyore0jFPyQ2eV5JSihv.jpg
Athidhi,2007,"Action, Thriller, Emotional","Mahesh Babu, Amrita Rao, Murali Sharma",Surender Reddy,"A lonely young man haunted by childhood trauma reunites with the girl he once protected after years of separation, but violent enemies connected to his past continue threatening their lives. As hidden conspiracies, emotional pain, and brutal confrontations intensify, he must confront dangerous criminals while protecting the people he loves. The film combines emotional action drama, psychological conflict, suspense, and revenge themes while exploring loss, loyalty, trauma, and redemption.",7.0,https://image.tmdb.org/t/p/w500/jD5qUBrYWzpFNgn4i9xZU2k3n1A.jpg
Jalsa,2008,"Action, Comedy, Political","Pawan Kalyan, Ileana D'Cruz, Prakash Raj",Trivikram Srinivas,"A carefree young man with a violent revolutionary past attempts to live peacefully after abandoning extremist ideology, but his history slowly resurfaces through political enemies, emotional relationships, and dangerous conflicts. While balancing humor, romance, and emotional scars, he struggles to reconcile his past actions with his desire for a normal life. The film combines action, political undertones, emotional drama, and comedy while exploring ideology, redemption, and identity.",7.3,https://image.tmdb.org/t/p/w500/sAc0AX16f0jBlVfU85XbaU9ZKI2.jpg
Race Gurram,2014,"Action, Comedy, Family","Allu Arjun, Shruti Haasan, Shaam",Surender Reddy,"A carefree and impulsive young man constantly clashes with his disciplined police officer brother, whose fight against a ruthless politician slowly pulls the entire family into danger. While initially avoiding responsibility, the younger brother gradually transforms into an unexpected ally during the battle against corruption and violence. The film combines energetic comedy, family emotion, mass action, and political conflict while exploring brotherhood, responsibility, and courage.",7.2,https://image.tmdb.org/t/p/w500/oHqHsgx8lc01xrBraY4OBJtdeRn.jpg
Orange,2010,"Romance, Drama","Ram Charan, Genelia D'Souza, Shazahn Padamsee",Bhaskar,"A passionate graffiti artist living in Australia deeply believes that lifelong love is unrealistic because human emotions constantly change over time. When he falls in love with an optimistic young woman who dreams of eternal romance, their relationship becomes emotionally complicated through conflicting views about commitment and honesty. The film combines romance, emotional introspection, travel atmosphere, and youthful drama while exploring love, fear, relationships, and emotional insecurity.",6.6,https://image.tmdb.org/t/p/w500/3y2WLXeySVHExhR9VM5JwP8OPtw.jpg
Vedha,2022,"Action, Crime, Drama","Shiva Rajkumar, Ganavi Laxman, Aditi Sagar",A. Harsha,"A former gangster forced into hiding returns to violence after his daughter becomes the target of dangerous political and criminal forces manipulating the justice system for personal power. As revenge and survival push him toward brutal confrontation, hidden truths about corruption and betrayal slowly emerge. The film combines action, emotional fatherhood, crime drama, and political conflict while exploring justice, sacrifice, and vengeance.",6.8,https://image.tmdb.org/t/p/w500/6QgxYSgcBSd5jbdUqzvSefPzO96.jpg
Dhruva,2016,"Spy, Thriller, Action","Ram Charan, Arvind Swamy, Rakul Preet Singh",Surender Reddy,"An intelligent police officer obsessed with eliminating organized crime becomes determined to expose a brilliant scientist secretly controlling a massive network of illegal medical operations and corruption. As psychological battles and strategic manipulation intensify between the two highly intelligent opponents, the investigation evolves into a dangerous game of control and survival. The film combines spy thriller elements, emotional action, investigative drama, and psychological conflict while exploring obsession, morality, and justice.",7.7,https://image.tmdb.org/t/p/w500/hh7D1fLjet1Ce1kcCkk5TVr3g9O.jpg
Lakshya,2004,"War, Drama, Coming-of-age","Hrithik Roshan, Preity Zinta, Amitabh Bachchan",Farhan Akhtar,"An aimless and immature young man drifting through life without direction unexpectedly joins the Indian Army but initially struggles with discipline, responsibility, and self-belief. After personal humiliation and emotional realization, he returns determined to transform himself into a capable officer during the Kargil War. The film combines military realism, emotional growth, war drama, and personal transformation while exploring maturity, patriotism, ambition, and identity.",7.9,https://image.tmdb.org/t/p/w500/ctB8RWoK2LHn5skqN4eUWVSvpyM.jpg
Chak De! India,2007,"Sports, Drama, Patriotic","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge",Shimit Amin,"A disgraced former hockey player accused of betraying the nation receives an opportunity to coach the struggling Indian women’s hockey team composed of players from conflicting regional and cultural backgrounds. Through intense training, emotional conflict, and collective determination, the team gradually overcomes prejudice and internal division. The film combines sports drama, patriotism, emotional motivation, and social commentary while exploring teamwork, redemption, sexism, and national identity.",8.1,https://image.tmdb.org/t/p/w500/mmFMgEsTRCAGAtwffGpuo3mJsxN.jpg
Guru,2007,"Biography, Business, Drama","Abhishek Bachchan, Aishwarya Rai Bachchan, Mithun Chakraborty",Mani Ratnam,"A determined young villager with extraordinary business ambition rises from humble beginnings to become one of India’s most influential industrialists through risk-taking, intelligence, and relentless drive. As his empire expands, he faces accusations of corruption, political conflict, media scrutiny, and moral compromise that challenge both his success and relationships. The film combines business drama, emotional storytelling, and political commentary while exploring ambition, capitalism, ethics, and power.",7.7,https://image.tmdb.org/t/p/w500/xX2BJ5sn3ElTZqhnOEod8ZXsCQg.jpg
Yuva,2004,"Political, Drama, Thriller","Ajay Devgn, Abhishek Bachchan, Vivek Oberoi",Mani Ratnam,"The lives of three young men from completely different social backgrounds unexpectedly intersect after a violent political incident on a Kolkata bridge changes their futures forever. As one becomes inspired toward activism and another descends into crime and political manipulation, their personal choices reshape their understanding of power, responsibility, and identity. The film combines political realism, emotional conflict, urban drama, and nonlinear storytelling while exploring youth, corruption, and social change.",7.4,https://image.tmdb.org/t/p/w500/8cMCIsULa0IrZq0KkCLejMINWmq.jpg
Special 26,2013,"Crime, Heist, Thriller","Akshay Kumar, Anupam Kher, Manoj Bajpayee",Neeraj Pandey,"A group of intelligent con artists posing as government officials conduct elaborate fake raids targeting corrupt businessmen and politicians while staying one step ahead of law enforcement agencies. As an experienced police officer begins closing in on the mysterious operation, the criminals carefully manipulate public trust, greed, and bureaucracy to survive. The film combines suspense, heist strategy, crime thriller storytelling, and dark humor while exploring corruption, deception, and intelligence.",8.0,https://image.tmdb.org/t/p/w500/cOo6lOiZXO0zldPKsih9asKPWDo.jpg
Kshanam,2016,"Mystery, Thriller, Emotional","Adivi Sesh, Adah Sharma, Anasuya Bharadwaj",Ravikanth Perepu,"A man living in the United States returns to India after his former lover desperately asks for help finding her missing daughter, but nobody around her believes the child ever existed. As he investigates the increasingly disturbing mystery, hidden secrets, emotional trauma, and dangerous conspiracies slowly emerge. The film combines emotional suspense, investigative thriller elements, and psychological tension while exploring memory, obsession, and truth.",8.2,https://image.tmdb.org/t/p/w500/j3ioiA4N4cQ0L5ALZuRpsZPP2eD.jpg
Animal,2023,"Action, Crime, Drama, Thriller","Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor, Bobby Deol",Sandeep Reddy Vanga,"A wealthy industrialist survives an assassination attempt, triggering a violent chain of events that deeply affects his emotionally unstable son. Obsessed with earning his father’s love and approval, the son descends into brutality, revenge, and psychological conflict while confronting rival criminal forces and family betrayal. The film explores toxic masculinity, emotional neglect, obsession, loyalty, and violence through intense action, dysfunctional relationships, and morally complex characters.",6.8,https://image.tmdb.org/t/p/w500/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg
12th Fail,2023,"Drama, Biography","Vikrant Massey, Medha Shankar",Vidhu Vinod Chopra,"Inspired by real events, the film follows a young man from a poor rural background who struggles against poverty, corruption, and repeated academic failure while dreaming of becoming an IPS officer. Despite social humiliation and personal setbacks, he continues preparing for one of India’s toughest examinations with determination and honesty. The story explores resilience, education, ambition, friendship, and self-belief while presenting the emotional realities of competitive exam culture.",9.0,https://image.tmdb.org/t/p/w500/eebUPRI4Z5e1Z7Hev4JZAwMIFkX.jpg
Salaar: Part 1 – Ceasefire,2023,"Action, Crime, Drama","Prabhas, Prithviraj Sukumaran, Shruti Haasan",Prashanth Neel,"A mysterious and feared warrior living in isolation is pulled back into a violent world when his childhood friend, the heir to a dangerous kingdom, faces betrayal and political conspiracies. As rival factions battle for power, buried histories and brutal loyalties resurface, leading to explosive confrontations. The film explores friendship, power struggles, revenge, and survival within a dark world shaped by violence and ambition.",6.7,https://image.tmdb.org/t/p/w500/nlu9WbcetNFRGXXPWITr30ob7W6.jpg
Jigarthanda DoubleX,2023,"Crime, Drama, Western, Thriller","Raghava Lawrence, S. J. Suryah",Karthik Subbaraj,"A struggling filmmaker is forced to collaborate with a feared gangster while secretly planning to assassinate him under political pressure. As cinema, violence, tribal oppression, and power intersect, the relationship between the two men evolves in unexpected ways. The film combines satire, emotional conflict, filmmaking culture, and social commentary while exploring exploitation, identity, and resistance.",8.3,https://image.tmdb.org/t/p/w500/rlPTdgLfgsSv8WiQXRZ2AVIDwAi.jpg
Kalki 2898 AD,2024,"Sci-Fi, Action, Mythology","Prabhas, Deepika Padukone, Amitabh Bachchan, Kamal Haasan",Nag Ashwin,"Set in a dystopian future where humanity struggles under authoritarian control and environmental collapse, the story follows a bounty hunter whose mission becomes connected to an ancient prophecy tied to the birth of a child destined to change the world. Blending futuristic technology with mythology from the Mahabharata, the film explores destiny, faith, survival, greed, and rebellion across a visually grand science-fiction universe.",7.5,https://image.tmdb.org/t/p/w500/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg
Brahmāstra: Part One – Shiva,2022,"Fantasy, Adventure, Romance","Ranbir Kapoor, Alia Bhatt, Amitabh Bachchan",Ayan Mukerji,"A young man discovers that he possesses mysterious powers connected to an ancient group protecting powerful astras capable of immense destruction. As dark forces attempt to obtain the legendary Brahmāstra, he embarks on a journey filled with love, destiny, supernatural battles, and hidden truths about his past. The film combines mythology, fantasy adventure, romance, and large-scale visual spectacle.",5.6,https://image.tmdb.org/t/p/w500/x61qdvHIsr9U53FwoLVDQqAGur0.jpg
Mimi,2021,"Comedy, Drama","Kriti Sanon, Pankaj Tripathi",Laxman Utekar,"An aspiring dancer hoping for a better future agrees to become a surrogate mother for a foreign couple in exchange for money that could transform her life. However, unexpected circumstances leave her emotionally and socially vulnerable, forcing her to navigate motherhood, judgment, and personal sacrifice. The film blends humor and emotion while exploring family, dignity, responsibility, and societal perceptions surrounding surrogacy.",7.8,https://image.tmdb.org/t/p/w500/AtCUHSf5sG31FL0vugxplft5FXW.jpg
Shershaah,2021,"War, Biography, Drama","Sidharth Malhotra, Kiara Advani",Vishnuvardhan,"Based on the life of Captain Vikram Batra, the film follows a fearless Indian Army officer whose courage and leadership become legendary during the Kargil War. Alongside his military journey, the story portrays his personal relationships, patriotism, and emotional sacrifices. The film combines battlefield intensity with emotional storytelling while exploring bravery, duty, love, and national pride.",8.4,https://image.tmdb.org/t/p/w500/zGvFnwoXJKrYnKhoVPytqkqCJ8V.jpg
The Kashmir Files,2022,"Drama, Historical","Mithun Chakraborty, Anupam Kher, Darshan Kumar",Vivek Agnihotri,"A young student begins uncovering painful truths about the exodus of Kashmiri Pandits after listening to survivors recount traumatic memories of violence, displacement, and loss. As hidden histories emerge, he struggles to understand identity, politics, and generational trauma. The film presents emotional narratives centered around suffering, survival, memory, and historical conflict.",8.3,https://image.tmdb.org/t/p/w500/2VvjJFDBFYkVgr89BjqbUl26QyW.jpg
Article 15,2019,"Crime, Drama, Social","Ayushmann Khurrana, Isha Talwar",Anubhav Sinha,"A young IPS officer posted in rural India investigates the disappearance of teenage girls and gradually uncovers horrifying realities shaped by caste discrimination and systemic injustice. As he confronts corruption, social inequality, and political pressure, he begins questioning his own privilege and understanding of society. The film explores caste oppression, morality, power, and constitutional values through intense investigative drama.",8.1,https://image.tmdb.org/t/p/w500/egknEWNt2B0slG2OC0gSpLZdVHj.jpg
Chhichhore,2019,"Comedy, Drama","Sushant Singh Rajput, Shraddha Kapoor",Nitesh Tiwari,"A group of former college friends reunite after years when one of their children suffers emotional trauma linked to academic pressure and fear of failure. Through memories of their youthful hostel days filled with friendship, rivalry, humor, and mistakes, they try to teach him that failure is not the end of life. The film explores mental health, friendship, parenting, competition, and self-worth.",8.3,https://image.tmdb.org/t/p/w500/cGDPQtQ5igtPMt3oJ6BCAor6dFp.jpg
Bheeshma Parvam,2022,"Crime, Drama, Action","Mammootty, Soubin Shahir, Shine Tom Chacko",Amal Neerad,"The aging patriarch of a powerful crime family tries to maintain peace within his empire as jealousy, betrayal, and ambition begin tearing the family apart from within. As rivalries intensify, emotional wounds and power struggles trigger violent consequences. Inspired by themes from the Mahabharata, the film combines gangster drama, family politics, revenge, and emotional conflict.",7.7,https://image.tmdb.org/t/p/w500/7vtSFcwagN0O5psdS69xPRaLYkS.jpg
Luca,2019,"Mystery, Romance, Thriller","Tovino Thomas, Ahaana Krishna",Arun Bose,"A police officer investigating the mysterious death of a young woman becomes deeply connected to the life of a troubled artist whose emotionally intense relationship with her hides painful secrets. As the investigation unfolds through fragmented memories and artistic symbolism, themes of love, trauma, loneliness, and mental health emerge. The film blends romance, suspense, and psychological drama.",7.5,https://image.tmdb.org/t/p/w500/7oj36FCmh2ZB28xZtUkZ7qBlEzB.jpg
Ayyappanum Koshiyum,2020,"Drama, Thriller, Action","Prithviraj Sukumaran, Biju Menon",Sachy,"An ego clash between a short-tempered ex-havildar and an honest but rigid police officer spirals into an intense conflict that affects their families, reputations, and entire community. What begins as a personal insult slowly turns into a battle of pride, masculinity, and social influence. The film explores authority, honor, anger, and human ego through emotionally grounded confrontations and powerful performances.",8.0,https://image.tmdb.org/t/p/w500/iwmh53N9oPUiCQBZdBWdiB1kur2.jpg
Dasara,2023,"Action, Drama, Revenge","Nani, Keerthy Suresh, Dheekshith Shetty",Srikanth Odela,"Set in a coal-mining village plagued by alcoholism, violence, and political manipulation, the story follows a carefree young man whose life changes after betrayal and tragedy strike his closest relationships. As grief and anger consume him, he begins confronting the oppressive systems controlling the village. The film explores friendship, revenge, class struggle, corruption, and emotional transformation through raw rural storytelling.",6.9,https://image.tmdb.org/t/p/w500/4OTVoCVXa5aHDZl8opKoIV9Ezr5.jpg
Sapta Sagaradaache Ello – Side A,2023,"Romance, Drama","Rakshit Shetty, Rukmini Vasanth",Hemanth M. Rao,"A gentle and selfless young man deeply in love with his partner sacrifices his future after becoming trapped in circumstances involving crime and imprisonment. While separated by fate and difficult realities, the couple struggles to hold onto hope and emotional connection. The film explores love, sacrifice, longing, emotional pain, and destiny through poetic storytelling and deeply human performances.",8.2,https://image.tmdb.org/t/p/w500/qjvSMN5dhSh7cymjj6if2aJ4ejW.jpg
Laapataa Ladies,2024,"Comedy, Drama","Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava",Kiran Rao,"In rural India during the early 2000s, two newly married brides accidentally get exchanged during a train journey due to traditional veils hiding their identities. As confusion spreads across villages and families, the women slowly discover their own individuality, confidence, and desires beyond societal expectations. The film uses humor and emotional realism to explore patriarchy, identity, marriage, and freedom.",8.5,https://image.tmdb.org/t/p/w500/cGG5hCwPnMvuKzvUBnxo5y3DcVM.jpg
Mad,2023,"Comedy, Youth, Drama","Narne Nithiin, Sangeeth Shobhan, Ram Nithin",Kalyan Shankar,"Three carefree college friends create endless chaos inside their engineering campus through pranks, romance, misunderstandings, and reckless adventures. Beneath the humor and youthful energy, the story captures friendship, insecurity, growing up, heartbreak, and the unpredictability of student life. The film blends campus comedy with emotional moments and nostalgic coming-of-age storytelling.",7.4,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg
Hridayam,2022,"Romance, Drama, Coming-of-age","Pranav Mohanlal, Kalyani Priyadarshan, Darshana Rajendran",Vineeth Sreenivasan,"The film follows the emotional journey of a young engineering student as he experiences friendship, heartbreak, love, failure, parenthood, and personal growth over several years of his life. Through changing relationships and life choices, he gradually matures from an irresponsible youth into someone capable of understanding responsibility and emotional connection. The story explores nostalgia, romance, adulthood, and self-discovery with warmth and emotional realism.",8.1,https://image.tmdb.org/t/p/w500/rMNzpbruCuBmYPWhaNLrKOlNKcu.jpg
Aadujeevitham,2024,"Survival, Drama, Adventure","Prithviraj Sukumaran, Amala Paul, Jimmy Jean-Louis",Blessy,"Based on the acclaimed novel inspired by true events, the film follows a young Malayali migrant worker who travels to the Middle East hoping to build a better future for his family. Instead, he becomes trapped in brutal slavery under an abusive goat herder in a remote desert. Isolated from civilization and stripped of freedom, he struggles to survive extreme loneliness, physical suffering, and emotional despair while desperately searching for hope and escape. The film explores survival, human endurance, migration, exploitation, and the unbreakable desire for freedom through emotionally intense storytelling and harsh realism.",8.7,https://image.tmdb.org/t/p/w500/vwRkVhvJuAFz4i8udXMNkcJCztc.jpg
Hanuman,2024,"Superhero, Fantasy, Action","Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar",Prasanth Varma,"In a small village touched by mythology and faith, a young man unexpectedly gains divine powers connected to Lord Hanuman after discovering a mysterious gem. As greed-driven enemies seek the source of his abilities, he must learn responsibility, courage, and sacrifice to protect his people. Combining superhero storytelling with Indian mythology, the film explores devotion, morality, power, and heroism through fantasy adventure, emotional conflict, and large-scale action.",8.1,https://image.tmdb.org/t/p/w500/bKhXZyGkJB94JuO0ygA60NinRYQ.jpg
Lucky Bhaskar,2024,"Crime, Drama, Thriller","Dulquer Salmaan, Meenakshi Chaudhary",Venky Atluri,"Set against the backdrop of banking scams and financial manipulation, the story follows an ordinary middle-class man whose life changes after becoming involved in a risky world driven by money, ambition, and deception. As his choices begin affecting his family, morality, and identity, he struggles to survive mounting pressure and dangerous consequences. The film explores greed, social status, financial desperation, and ethical conflict through suspenseful storytelling and emotional drama.",8.2,
Amaran,2024,"War, Biography, Drama","Sivakarthikeyan, Sai Pallavi",Rajkumar Periasamy,"Inspired by the life of a courageous Indian Army officer, the film portrays the emotional and physical challenges faced during dangerous military operations in conflict zones. Alongside intense combat and national duty, the story also explores the officer’s personal relationships, sacrifices, and emotional struggles as a husband and soldier. The film blends patriotism, action, and emotional realism while examining bravery, love, loss, and commitment to the nation.",8.3,https://image.tmdb.org/t/p/w500/eCB06m1KUGilEOlIzb40nkQhVY0.jpg
Munjya,2024,"Horror, Comedy, Folklore","Abhay Verma, Sharvari Wagh, Mona Singh",Aditya Sarpotdar,"A young man visiting his ancestral village becomes entangled with a mischievous supernatural entity connected to a forgotten family curse and local folklore. As bizarre and comedic paranormal events begin affecting his relationships and personal life, hidden truths about the spirit’s past slowly emerge. The film combines horror, comedy, mythology, and emotional storytelling while exploring fear, loneliness, family secrets, and cultural beliefs.",6.9,https://image.tmdb.org/t/p/w500/ylYdXu0SM79Qs7vOz6q7mBxanVD.jpg
Maidaan,2024,"Sports, Biography, Drama","Ajay Devgn, Priyamani, Gajraj Rao",Amit Ravindernath Sharma,"Based on real events, the film follows visionary football coach Syed Abdul Rahim, who transformed the Indian national football team during a difficult period in the country’s sporting history. Battling political interference, financial struggles, and lack of support, he dedicates himself to building a disciplined and competitive team capable of achieving international success. The film explores leadership, patriotism, sacrifice, teamwork, and perseverance through inspiring sports drama.",8.0,https://image.tmdb.org/t/p/w500/eKbAVKQf6choCfasNWuYoSTOPBP.jpg
Jailer,2023,"Action, Crime, Thriller","Rajinikanth, Vinayakan, Tamannaah Bhatia",Nelson Dilipkumar,"A retired jailer living a peaceful family life is forced back into violence after his son, an honest police officer, becomes connected to a dangerous criminal network. As hidden truths and betrayals surface, the quiet old man reveals a ruthless side capable of terrifying enemies. The film blends stylish action, dark humor, emotional family drama, and revenge while exploring justice, aging, grief, and vengeance.",7.1,https://image.tmdb.org/t/p/w500/pTmMxAHqX4vsIDE6HPPxOR0Q6TN.jpg
Viduthalai Part 1,2023,"Crime, Drama, Political Thriller","Soori, Vijay Sethupathi, Bhavani Sre",Vetrimaaran,"A newly recruited police constable posted in a remote forest region becomes trapped between state violence and an armed revolutionary movement fighting for oppressed tribal communities. As brutal operations and moral dilemmas intensify, he begins questioning the system he serves and the true meaning of justice. The film explores power, oppression, ideology, violence, and human morality through realistic storytelling and emotionally heavy conflict.",8.2,https://image.tmdb.org/t/p/w500/oTxPji8PY3PL0SK9e4mkt2laJKg.jpg
Captain Miller,2024,"Action, Historical, Drama","Dhanush, Priyanka Arul Mohan, Shiva Rajkumar",Arun Matheswaran,"Set during the pre-independence era, the story follows a man who transforms from a reluctant individual into a feared rebel fighting against colonial oppression and social exploitation. As violence, political resistance, and personal trauma shape his journey, he becomes a symbol of rebellion for oppressed communities. The film combines large-scale action, emotional conflict, and historical drama while exploring freedom, identity, revenge, and sacrifice.",7.0,https://image.tmdb.org/t/p/w500/6qKnVaE5BvA2fO1L6r4i1ScX34G.jpg
Thallumaala,2022,"Action, Comedy, Romance","Tovino Thomas, Kalyani Priyadarshan",Khalid Rahman,"A young man known for constantly getting into fights falls deeply in love, but his reckless behavior repeatedly disrupts his relationships and social life. Told through a highly stylized nonlinear narrative filled with humor, music, and chaotic energy, the film explores youth culture, ego, romance, friendship, and masculinity. The story balances colorful entertainment with emotional moments and kinetic action sequences.",7.7,https://image.tmdb.org/t/p/w500/4Y1tcQqAiUkAbc6SUJgoP73sE5S.jpg
Romancham,2023,"Horror, Comedy","Soubin Shahir, Arjun Ashokan, Chemban Vinod Jose",Jithu Madhavan,"A group of unemployed young men sharing a rented house begin experimenting with a Ouija board for fun, only to experience increasingly strange and terrifying supernatural events. As fear, confusion, and paranoia spread among the friends, their relationships and mental stability begin collapsing in humorous yet unsettling ways. Inspired by real incidents, the film blends horror, comedy, friendship, and psychological tension.",7.8,https://image.tmdb.org/t/p/w500/9p8ux2AGYn3U2mEAbKmizAh6PL1.jpg
Uyare,2019,"Drama, Inspirational","Parvathy Thiruvothu, Asif Ali, Tovino Thomas",Manu Ashokan,"An aspiring pilot’s dreams are shattered after surviving a brutal acid attack carried out by a possessive partner. Forced to rebuild her life physically and emotionally, she fights social stigma, trauma, and personal insecurity while refusing to abandon her ambitions. The film explores resilience, dignity, empowerment, emotional healing, and the strength required to reclaim identity after violence.",8.0,https://image.tmdb.org/t/p/w500/xwo3PIN8hipmCsySx76kaUtuXxH.jpg
Sir,2023,"Drama, Education, Social","Dhanush, Samyuktha Menon",Venky Atluri,"A passionate mathematics teacher is sent to a poorly managed college in a rural area where students are treated as business assets instead of learners. Determined to transform the education system from within, he challenges corrupt management practices and inspires students to believe in their own potential. The film explores education inequality, corporate exploitation, social mobility, and the emotional power of teaching.",7.3,https://image.tmdb.org/t/p/w500/uCioTenCVELAe8csXyP0XcexQ7Q.jpg
Good Night,2023,"Comedy, Romance, Slice of Life","Manikandan, Meetha Raghunath",Vinayak Chandrasekaran,"A simple young man with an embarrassing snoring problem struggles to maintain relationships, confidence, and peace in both his family and workplace. What appears to be a small issue slowly begins affecting his emotional life, marriage, and self-esteem in unexpected ways. Through grounded humor and relatable situations, the film explores insecurity, love, acceptance, and ordinary middle-class life with warmth and realism.",7.8,https://image.tmdb.org/t/p/w500/aFTO0tCTxXazstWfhOQHPb3kcMT.jpg
SSE Side B,2023,"Romance, Drama","Rakshit Shetty, Rukmini Vasanth",Hemanth M. Rao,"After years of emotional pain, imprisonment, and separation from the woman he loves, a gentle young man attempts to rebuild his life while carrying unresolved grief and memories. As both individuals move through different emotional realities, destiny continues testing their bond and personal growth. The film explores heartbreak, sacrifice, healing, and emotional maturity through poetic visuals and deeply introspective storytelling.",8.3,https://image.tmdb.org/t/p/w500/7DIsSaRDmmyDViTwfl9RqV9zQTn.jpg
Thiruchitrambalam,2022,"Drama, Romance, Family","Dhanush, Nithya Menen, Raashii Khanna",Mithran Jawahar,"A food delivery worker struggling with family tensions, loneliness, and failed relationships slowly finds emotional comfort through his close friendship with a supportive childhood companion. As he navigates heartbreak, reconciliation, and personal healing, he begins understanding the value of simple human connection and family bonds. The film explores friendship, love, grief, emotional maturity, and everyday life with warmth and realism.",7.9,https://image.tmdb.org/t/p/w500/pBRkO5GHJqDB9D0fbumL5235JfJ.jpg
2018,2023,"Disaster, Survival, Drama","Tovino Thomas, Kunchacko Boban, Asif Ali",Jude Anthany Joseph,"Based on the devastating Kerala floods of 2018, the film follows multiple ordinary individuals whose lives become connected during one of the worst natural disasters in the region’s history. As rising waters destroy homes and communication systems collapse, people from different backgrounds unite in rescue missions driven by courage and humanity. The film explores survival, compassion, fear, collective responsibility, and resilience during crisis.",8.4,https://image.tmdb.org/t/p/w500/uz9qc6lNGyqS2xvuXUfpJh2eP6b.jpg
Malaikottai Vaaliban,2024,"Fantasy, Action, Adventure","Mohanlal, Sonalee Kulkarni",Lijo Jose Pellissery,"A legendary wandering warrior travels across distant lands participating in intense combat challenges while carrying emotional scars and hidden burdens from his past. As myths, ambition, betrayal, and destiny shape his journey, he encounters rulers, performers, and dangerous adversaries who test both his strength and humanity. The film combines folklore-inspired storytelling, fantasy adventure, action spectacle, and philosophical themes.",6.5,https://image.tmdb.org/t/p/w500/sMnLaMTWYb19naUBTkcj099bX0M.jpg
Chaaver,2023,"Political, Thriller, Drama","Kunchacko Boban, Antony Varghese",Tinu Pappachan,"A politically connected group transporting an injured man across a tense landscape slowly becomes trapped in paranoia, suspicion, and violent conflict. As secrets surrounding political loyalty and hidden crimes begin surfacing, relationships within the group start collapsing under fear and mistrust. The film explores political violence, guilt, survival, and manipulation through raw tension and emotionally charged storytelling.",6.7,https://image.tmdb.org/t/p/w500/jtKAARhtxOyAwqibPxfNexWkIWO.jpg
Virupaksha,2023,"Mystery, Horror, Thriller","Sai Dharam Tej, Samyuktha Menon",Karthik Dandu,"A young man visiting a remote village becomes entangled in terrifying supernatural events linked to black magic, mysterious deaths, and hidden rituals. As fear spreads among the villagers, he begins uncovering disturbing truths connected to the village’s past and dangerous occult practices. The film blends mystery investigation, horror atmosphere, folklore, and emotional suspense while exploring superstition, revenge, and fear of the unknown.",7.3,https://image.tmdb.org/t/p/w500/fqMn4h9ctOyumII2nXDnm5mRTxQ.jpg
Eega,2012,"Fantasy, Revenge, Romance","Nani, Samantha Ruth Prabhu, Sudeep",S. S. Rajamouli,"A cheerful young man in love is brutally murdered by a wealthy and obsessive businessman who desires the same woman. Reborn as a housefly, he becomes determined to take revenge despite his tiny form and limited abilities. Using intelligence, persistence, and emotional connection, the fly slowly terrorizes the powerful killer while protecting the woman he loved. The film combines fantasy, revenge drama, romance, humor, and emotional storytelling while exploring love, obsession, justice, and resilience in a highly imaginative narrative.",7.7,https://image.tmdb.org/t/p/w500/pX7fn4EZrg2YFlV4GNMIfHDOQZ6.jpg
